date,precip_median,spi_3,spi_6,spi_12
1981-01-01,32.414444,-6.556285733784824,-6.678597207991179,-6.7738834451426815
1981-02-01,37.98448,-6.536084275645454,-6.6996172507556295,-6.762324198830242
1981-03-01,36.31682,-1.1349383159987654,-6.730141279234486,-6.76527911616504
1981-04-01,44.214874,-0.9428004244893012,-6.7205640166153175,-6.780955193332859
1981-05-01,18.617615,-0.8776826943793209,-6.705722747480108,-6.775376736204518
1981-06-01,13.279818,-0.283322158685876,-1.2118260420582296,-6.773495655665425
1981-07-01,2.736404,-0.34951994962272914,-1.0183275932303815,-6.77266544233701
1981-08-01,6.526028,1.0076083799470195,-0.7157158436445616,-6.771126463414872
1981-09-01,7.0453157,-0.6702098939113675,-0.4843171180775894,-6.771430307870877
1981-10-01,22.612494,-1.1957057063138095,-1.2509881032815255,-6.766460065843624
1981-11-01,35.77843,-1.024092214767844,-0.9029586204055503,-6.751836643522321
1981-12-01,67.67574,-0.5889604329845811,-0.7166785802461729,-1.3103737956727464
1982-01-01,55.87773,0.2838574886545223,0.20202974397452733,0.15907994508856418
1982-02-01,63.17021,0.4456224708024838,0.26634291227390416,0.22256908547700713
1982-03-01,70.32522,0.4541870582010233,0.33581169677493017,0.3026843753079104
1982-04-01,91.00964,1.3974628677818475,0.4991609642411212,0.40687581983602794
1982-05-01,60.74686,1.803481039930332,0.6446115210511602,0.49503911243434184
1982-06-01,8.72051,2.0793255724326207,1.405190292708294,0.486213104127624
1982-07-01,3.1937814,1.7645081033292895,1.8188927206440728,0.4871958821358572
1982-08-01,6.2798314,0.17785601631263542,1.7793666607699306,0.4869041735419418
1982-09-01,7.587326,-0.5612134826025038,1.897884551033191,0.48730917815072144
1982-10-01,25.255005,-0.9979137189755511,0.5279610197960525,0.491285109570129
1982-11-01,37.455566,-0.8680053798778157,-0.8871712499530701,0.49535896605200197
1982-12-01,45.379066,-1.079446716518147,-1.1696508391272196,0.5366453655919741
1983-01-01,17.737856,-0.11166404785908701,-0.08826694325234996,0.3689216134225599
1983-02-01,51.90458,0.009026964062035278,-0.006414951484614334,0.3438006983483309
1983-03-01,44.354973,-0.9665222855388417,0.019311117885046858,0.2835320696298943
1983-04-01,36.57911,-0.5602938304709303,0.037434448150927314,0.14907266053005094
1983-05-01,33.27787,-0.4579888230117832,0.0896420509989525,0.07626395476363525
1983-06-01,9.604333,-0.16263068672015102,-1.005374333978574,0.07918878840913875
1983-07-01,2.7261016,0.3740191174099499,-0.4184663630075794,0.07800239453635478
1983-08-01,3.9958143,-0.21935380214738284,-0.48376519172027505,0.0720068407341407
1983-09-01,8.169343,-0.8849294589823797,-0.41655318600351926,0.07298883308375279
1983-10-01,28.846619,-0.8760805883531937,-0.4985064866320972,0.08193061974511458
1983-11-01,69.43628,0.10854929785292422,0.0501467095812826,0.16754944287165088
1983-12-01,44.99548,-0.16206880409410432,-0.3329579252456066,-0.9479279904660156
1984-01-01,33.47031,0.21593325347665854,0.17095155471185428,0.20633415495949453
1984-02-01,21.64014,-0.1044107137059101,0.08668561355566658,0.129348578720454
1984-03-01,38.846046,-1.4503846232981132,0.07617972126365846,0.11400341251622685
1984-04-01,41.793396,-1.4168448594044105,0.09751678944502155,0.12712612390059969
1984-05-01,61.08242,0.2207293789207595,0.13668638122821264,0.1988288647718552
1984-06-01,7.3587723,0.8137115218799335,-0.8046614262447791,0.19369968098166182
1984-07-01,2.528374,1.6885209616203312,-0.536781625143014,0.19328582427670185
1984-08-01,3.5807073,-0.8913221100062213,0.11114648079389283,0.1925024589879887
1984-09-01,11.725923,-0.45256522633036833,0.6396970459610125,0.20075117530438152
1984-10-01,12.847389,-1.8006573310896206,0.033345511751031204,0.15929501844393718
1984-11-01,69.11169,-0.2061483595189457,-0.35157307184171194,0.15980618731109733
1984-12-01,34.95862,-0.8321459349623481,-0.9122300361359528,-1.1195014034284891
1985-01-01,113.91422,0.5888768956423382,0.4195215968639581,0.3297872172592577
1985-02-01,66.918106,0.5900450045305213,0.46330239142682755,0.42892119073679597
1985-03-01,20.495335,0.6422485884471923,0.3442696941112321,0.38883660222864563
1985-04-01,54.864445,-0.32327323515393225,0.4360588495158985,0.41702725869007046
1985-05-01,24.653461,-0.8524769880641068,0.38384788995273494,0.33722230167308515
1985-06-01,6.1495953,0.052288299232228434,0.5454566405270417,0.33495880561865554
1985-07-01,3.1018198,-0.4027672660525057,-0.469715686892528,0.33632149661026406
1985-08-01,3.6492429,-1.0359598446826028,-0.9574908517200453,0.3367107689802261
1985-09-01,7.1111727,-1.049922858454029,-0.2395141515869106,0.3255802964186323
1985-10-01,15.459948,-1.9642162611546374,-1.8283293860334282,0.33031473527576766
1985-11-01,55.461166,-0.6343815461240421,-0.8129777711026454,0.30014648811538897
1985-12-01,61.998535,-0.4145432669828297,-0.6068241284963508,0.07281338368689311
1986-01-01,42.98284,0.29027978131110166,0.16018616817484466,0.19507436285779606
1986-02-01,70.02619,0.38318466189063255,0.2695832489175562,0.20308372501723976
1986-03-01,44.52224,-0.08854611398103383,0.2581435976165563,0.2607600119708427
1986-04-01,41.7692,0.01043160748552272,0.311978480198508,0.22880201437318792
1986-05-01,23.076359,-0.588621105257087,0.2842152110749633,0.22527988387219625
1986-06-01,12.63402,-0.23362465541557656,-0.2654074341186919,0.24153984361402453
1986-07-01,3.0554981,-0.06117959409862765,-0.05468828310933264,0.24150433533477164
1986-08-01,4.4654393,0.5666202679533575,-0.50983718561839,0.24372657170146816
1986-09-01,10.924938,-0.36906557667324935,-0.36208864604829993,0.25225262690345035
