_250m_16_days_VI_Quality_2000193_aid0001,aid0001,2000-07-11 00:00:00+00:00,,,,,,,,511280.0,,3999,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295.0,,50.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,329.0,,95.0,,,,88.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000209_aid0001,aid0001,2000-07-27 00:00:00+00:00,,713.0,,28.0,,,,465796.0,,33413,,,,,9782.0,,1332.0,,,,,,,,,,,,,,,,,,1262.0,,60.0,,,,,730.0,,56.0,,,,,4.0,,4.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2215.0,,378.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,389.0,,192.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,,580.0,,,,,,,112.0,,,,,,,,,,,,,,,,,,,440.0,,32.0,,,,,233.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000225_aid0001,aid0001,2000-08-12 00:00:00+00:00,,,,,,,,508646.0,,4928,,,,,1540.0,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,,58.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,15.0,,,67.0,320.0,,60.0,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000241_aid0001,aid0001,2000-08-28 00:00:00+00:00,,,,,,,,508144.0,,6855,,,,,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2511.0,,36.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,383.0,,41.0,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000257_aid0001,aid0001,2000-09-13 00:00:00+00:00,,,,,,,,514584.0,,789,,,,,48.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.0,,4.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,374.0,,24.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000273_aid0001,aid0001,2000-09-29 00:00:00+00:00,,,,,,,,512880.0,,2038,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605.0,,12.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,40.0,420.0,,14.0,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000289_aid0001,aid0001,2000-10-15 00:00:00+00:00,4.0,968.0,42.0,216.0,,,,501459.0,,6171,,,,,420.0,,156.0,,,,,20.0,,,,,,217.0,,116.0,,,,,1701.0,,152.0,,,,,375.0,,72.0,,,,,4.0,,,,,,,36.0,8.0,,,16.0,8.0,,,,8.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,2440.0,,7.0,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,62.0,341.0,,12.0,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,,256.0,,,,,,,24.0,,,,,,,,,,,,4.0,,4.0,,,,,923.0,,20.0,,,,,80.0,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000305_aid0001,aid0001,2000-10-31 00:00:00+00:00,63.0,1326.0,90.0,820.0,,,,489115.0,,13299,,,,,288.0,,207.0,,,,,8.0,,,,,,361.0,28.0,165.0,4.0,,,,3425.0,8.0,308.0,,,,,390.0,,163.0,,,,,28.0,,,,,,,96.0,108.0,,,44.0,,,,12.0,,,,,,,,51.0,12.0,,,12.0,,,,8.0,,,,,,,,,,8.0,,,,,2391.0,,20.0,,,,30.0,,,,,8.0,,,,,,,,,,,,,,,,,,,28.0,,,,,,428.0,,19.0,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,32.0,60.0,28.0,,,,,,268.0,,48.0,,,,,,,,,,4.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,1733.0,7.0,616.0,,,,,24.0,,28.0,,,,,,,,,,,,,,,,,,,1599.0,7.0,64.0,,,,,80.0,,36.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,33.0,4.0,,,20.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000321_aid0001,aid0001,2000-11-16 00:00:00+00:00,72.0,1509.0,143.0,590.0,,,,491141.0,4.0,8417,56.0,,,,917.0,2.0,778.0,72.0,,,,52.0,,44.0,,,,173.0,8.0,257.0,40.0,,,,1924.0,4.0,118.0,,,,,487.0,,140.0,,,,,52.0,,12.0,12.0,,,,222.0,229.0,,,340.0,192.0,,,44.0,24.0,,,11.0,4.0,,,44.0,33.0,,,12.0,8.0,,,,40.0,,,8.0,12.0,,,,,,,,,,2272.0,,,,,,50.0,6.0,10.0,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,,20.0,343.0,,24.0,,,,137.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,44.0,64.0,116.0,44.0,,,,,,406.0,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,2367.0,,1140.0,,,,,98.0,,32.0,,,,,,,2.0,,,,,20.0,,4.0,,,,,1698.0,8.0,80.0,8.0,,,,300.0,10.0,76.0,,,,,4.0,,8.0,,,,,,,,,52.0,28.0,,,,8.0,,,,,,,8.0,,,,44.0,4.0,,,16.0,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000337_aid0001,aid0001,2000-12-02 00:00:00+00:00,20.0,1122.0,11.0,466.0,,,,496794.0,320.0,6141,270.0,,,,164.0,28.0,318.0,32.0,,,,20.0,,,,,,56.0,,44.0,,,,,1628.0,8.0,182.0,,,,,249.0,16.0,104.0,,,,,4.0,,16.0,4.0,,,,156.0,190.0,,,2197.0,329.0,,,64.0,32.0,,,,,,,8.0,4.0,,,4.0,4.0,,,,24.0,,,12.0,,,,,,,,,,,2524.0,,52.0,,,,21.0,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,381.0,,2.0,,,,97.0,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,4.0,,4.0,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808.0,8.0,576.0,4.0,,,,,,100.0,,,,,,,,,,,,,,4.0,,,,,1090.0,8.0,48.0,,,,,160.0,,28.0,,,,,4.0,,,,,,,,,,,,64.0,,,,,,,,,,,,4.0,,,24.0,4.0,,,16.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
