date,precip_median,spi_3,spi_6,spi_12,ndvi_final
2000-02-01,15.669909,0.8170371448259425,0.8094983083547941,0.6912523186810189,0.3178
2000-03-01,26.737835,0.6010813621248167,0.7832466062151655,0.6525326973536397,0.2842
2000-04-01,0.0,0.3966263591641871,0.5721173214243748,0.6205706552366634,0.2648
2000-05-01,0.0,0.2972749723385658,0.5515778429447173,0.524158442056071,0.2435
2000-06-01,6.280815,-0.0690077564543823,0.3554936228845615,0.574457944555594,0.2035
2000-07-01,0.0,0.1180890286913971,0.2352088607105953,0.6142878088206727,0.1918
2000-08-01,0.0,0.3793163882367389,0.1881022218173893,0.6141339257279306,0.1839
2000-09-01,0.0,-2.2331582545597595,-0.3441725013333599,0.5432656343765732,0.1894
2000-10-01,0.0,-2.1032412896063395,-0.1905644851283155,0.3739503668940849,0.201
2000-11-01,0.0,-2.2587060047474723,-0.3538585800144154,0.3754745957860059,0.224
2000-12-01,0.0,-2.109495383545165,-2.63465873290339,0.0879722644580604,0.2593
2001-01-01,0.0,-1.9717192071437963,-2.2737067700292304,0.0179057868044208,0.3051478260869565
2001-02-01,0.0,-2.089033148139367,-2.269918452743801,-0.0864348046042455,0.3473
2001-03-01,0.0,-2.454347661724233,-2.286362277794165,-0.4678579778410744,0.3602
2001-04-01,0.0,-2.455609092133378,-2.4717618459946684,-0.4723922141905795,0.2895
2001-05-01,0.0,-2.4498613655231747,-2.6832702530065697,-0.6147614827206591,0.2225
2001-06-01,0.0,-2.6680973724862618,-2.9719927302984277,-2.9416666846309605,0.1944
2001-07-01,0.0,-2.659947757834633,-2.937462581593472,-2.698986526368285,0.1789
2001-08-01,0.0,-2.6847049494199293,-2.924321996231963,-2.699281692870102,0.1856
2001-09-01,0.0,-2.2331582545597595,-3.2740535496540444,-2.976915351951909,0.1896
2001-10-01,0.0,-2.1032412896063395,-2.936876937660804,-2.990513032445864,0.183
2001-11-01,0.0,-2.2587060047474723,-3.2432298876519217,-2.984448030034566,0.1963
2001-12-01,0.0,-2.109495383545165,-2.63465873290339,-3.358630268465934,0.2306862068965517
2002-01-01,0.0,-1.9717192071437963,-2.2737067700292304,-2.94883213979323,0.2781
2002-02-01,0.0,-2.089033148139367,-2.269918452743801,-2.93549246267326,0.297
2002-03-01,0.0,-2.454347661724233,-2.286362277794165,-2.9191842812098656,0.3483
2002-04-01,0.0,-2.455609092133378,-2.4717618459946684,-2.92981997673527,0.3941
2002-05-01,0.0,-2.4498613655231747,-2.6832702530065697,-3.2559695307835224,0.3388
2002-06-01,0.0,-2.6680973724862618,-2.9719927302984277,-2.9416666846309605,0.2168
2002-07-01,0.0,-2.659947757834633,-2.937462581593472,-2.698986526368285,0.1966
2002-08-01,0.0,-2.6847049494199293,-2.924321996231963,-2.699281692870102,0.2029
2002-09-01,0.0,-2.2331582545597595,-3.2740535496540444,-2.976915351951909,0.1979
2002-10-01,0.0,-2.1032412896063395,-2.936876937660804,-2.990513032445864,0.1998
2002-11-01,0.0,-2.2587060047474723,-3.2432298876519217,-2.984448030034566,0.2391
2002-12-01,0.0,-2.109495383545165,-2.63465873290339,-3.358630268465934,0.3240965517241379
2003-01-01,0.0,-1.9717192071437963,-2.2737067700292304,-2.94883213979323,0.4006
2003-02-01,0.0,-2.089033148139367,-2.269918452743801,-2.93549246267326,0.4537
2003-03-01,0.0,-2.454347661724233,-2.286362277794165,-2.9191842812098656,0.4801
2003-04-01,0.0,-2.455609092133378,-2.4717618459946684,-2.92981997673527,0.4546
2003-05-01,23.101282,0.2558192075547751,-0.0098097316078208,-0.2967847670666718,0.3292
2003-06-01,0.0,0.3012672282626661,-0.0795714540290222,-0.1819344434309064,0.2295
2003-07-01,2.8017664,0.6097500910092505,0.0336147514165661,-0.0635827100394844,0.2028
2003-08-01,0.0,0.1098798195870341,0.1095293409219865,-0.0637473620881936,0.2051
2003-09-01,5.5192504,0.5172038611727309,0.1803922631717596,-0.1154687228086687,0.203
2003-10-01,77.2473,1.0761779611818914,0.8537657168307559,0.256726977014438,0.2136
2003-11-01,66.78955,1.053696442338773,0.90251614683184,0.4353673644281852,0.2823
2003-12-01,0.0,0.935159450092824,0.819332550051381,0.3538132074337354,0.3448379310344828
2004-01-01,21.169136,0.7388287800380391,0.8082355610578036,0.4922144123379888,0.3769
2004-02-01,0.0,0.3175936544717744,0.7413105589309618,0.4934482993748486,0.4015
2004-03-01,55.473167,0.5720367496788944,0.7823530223074917,0.5980811841917588,0.4341
2004-04-01,29.512024,0.6326506132784807,0.6381639156989098,0.6449752192898969,0.4051
2004-05-01,0.0,0.6821098813475378,0.4405927824927932,0.5536534020093776,0.3281
2004-06-01,9.513863,0.4839565247274636,0.4555985004718607,0.6208250509918932,0.2574
2004-07-01,3.17603,0.3405212227190601,0.496366699917687,0.663237548339441,0.2211
2004-08-01,4.251592,0.800101124270176,0.6225374049693861,0.6695544969366648,0.2068
2004-09-01,10.160967,0.787291557309633,0.4272201645158683,0.6293011444880494,0.2095
2004-10-01,55.365536,1.0001359158408525,0.7138789370693304,0.589749746865561,0.2615
2004-11-01,54.188564,0.9523130020292676,0.8385976246863964,0.5690028934263602,0.2771
2004-12-01,62.177498,1.0079989503830964,0.9225743156726942,0.6115140626266675,0.3749
2005-01-01,19.328308,0.8858407273842211,0.8821951724037266,0.678071205807152,0.3806127659574468
2005-02-01,51.03557,0.8624724919871257,0.8926557704476136,0.7510344352515943,0.3867063829787234
2005-03-01,0.0,0.5420966308553089,0.8179384896653058,0.67263700932208,0.3928
