date,precip_median
2002-12-01,60.61441
2003-01-01,45.490913
2003-02-01,34.228775
2003-03-01,69.50546
2003-04-01,48.564003
2003-05-01,23.101282
2003-06-01,13.985441
2003-07-01,2.8017664
2003-08-01,5.6102753
2003-09-01,5.5192504
2003-10-01,77.2473
2003-11-01,66.78955
2003-12-01,78.95535
2004-01-01,21.169136
2004-02-01,65.95599
2004-03-01,55.473167
2004-04-01,29.512024
2004-05-01,53.41135
2004-06-01,9.513863
2004-07-01,3.17603
2004-08-01,4.251592
2004-09-01,10.160967
2004-10-01,55.365536
2004-11-01,54.188564
2004-12-01,62.177498
2005-01-01,19.328308
2005-02-01,51.03557
2005-03-01,52.59179
2005-04-01,21.91988
2005-05-01,17.794197
2005-06-01,14.302933
2005-07-01,1.9947681
2005-08-01,5.7888746
2005-09-01,6.5837555
2005-10-01,44.98509
2005-11-01,61.714645
2005-12-01,66.45131
2006-01-01,125.73199
2006-02-01,81.34302
2006-03-01,52.9386
2006-04-01,36.44838
2006-05-01,43.19172
2006-06-01,12.63569
2006-07-01,3.655879
2006-08-01,5.256729
2006-09-01,10.659046
2006-10-01,36.6845
2006-11-01,45.54953
2006-12-01,57.972603
2007-01-01,36.42664
2007-02-01,88.54762
2007-03-01,40.065994
2007-04-01,78.90795
2007-05-01,18.647976
2007-06-01,4.503989
2007-07-01,2.4142795
2007-08-01,5.174628
2007-09-01,12.014017
2007-10-01,61.83059
2007-11-01,63.573254
2007-12-01,44.616478
2008-01-01,46.97883
2008-02-01,79.1749
2008-03-01,24.683638
2008-04-01,32.9746
2008-05-01,20.657568
2008-06-01,4.9863343
2008-07-01,2.6148915
2008-08-01,3.695054
2008-09-01,36.349644
2008-10-01,58.037407
2008-11-01,64.76512
2008-12-01,77.42403
2009-01-01,81.7646
2009-02-01,78.097916
2009-03-01,99.7675
2009-04-01,23.356304
2009-05-01,19.435013
2009-06-01,19.872595
2009-07-01,3.7961087
2009-08-01,3.7895405
2009-09-01,33.722992
2009-10-01,24.560352
2009-11-01,23.624306
2009-12-01,96.70149
2010-01-01,117.62505
2010-02-01,148.84457
2010-03-01,91.54489
2010-04-01,73.351006
2010-05-01,18.024958
2010-06-01,5.1355224
2010-07-01,2.8730998
2010-08-01,6.3960447
2010-09-01,10.704929
2010-10-01,52.307575
2010-11-01,65.09807
2010-12-01,110.103714
2011-01-01,46.955124
2011-02-01,31.529127
2011-03-01,70.6995
2011-04-01,64.61722
2011-05-01,106.49696
2011-06-01,18.813684
2011-07-01,2.5277007
2011-08-01,9.246616
2011-09-01,6.2986336
2011-10-01,41.23549
2011-11-01,125.441986
2011-12-01,26.13419
2012-01-01,39.071457
2012-02-01,17.377855
2012-03-01,39.16877
2012-04-01,79.626785
2012-05-01,17.252607
2012-06-01,10.318371
2012-07-01,2.1183553
2012-08-01,3.8456588
2012-09-01,19.155127
2012-10-01,71.800476
2012-11-01,99.760956
2012-12-01,32.569878
2013-01-01,45.73028
2013-02-01,31.215744
2013-03-01,97.135
2013-04-01,41.999203
2013-05-01,18.60466
2013-06-01,7.185004
2013-07-01,3.5480542
2013-08-01,5.7078485
2013-09-01,35.842518
2013-10-01,29.874989
2013-11-01,38.436268
2013-12-01,38.07763
2014-01-01,81.400764
2014-02-01,47.92832
2014-03-01,57.8936
2014-04-01,44.126472
2014-05-01,21.902935
2014-06-01,6.671088
2014-07-01,2.23381
2014-08-01,5.656054
2014-09-01,21.121407
2014-10-01,22.194042
2014-11-01,174.94624
2014-12-01,45.98039
2015-01-01,62.397606
2015-02-01,45.592964
2015-03-01,43.325405
2015-04-01,29.046461
2015-05-01,21.261074
2015-06-01,7.641799
2015-07-01,7.186406
2015-08-01,12.090763
2015-09-01,22.918343
2015-10-01,40.32372
2015-11-01,20.988167
2015-12-01,26.169142
2016-01-01,28.933033
2016-02-01,42.620724
2016-03-01,52.945442
2016-04-01,27.39919
2016-05-01,52.530243
2016-06-01,5.2832484
2016-07-01,3.1532836
2016-08-01,7.345431
2016-09-01,12.412026
2016-10-01,49.147396
2016-11-01,75.595215
2016-12-01,76.27451
2017-01-01,36.28361
2017-02-01,67.78386
2017-03-01,35.121986
2017-04-01,45.78205
2017-05-01,17.716913
2017-06-01,10.833364
2017-07-01,2.3157063
2017-08-01,7.1910143
2017-09-01,5.396364
2017-10-01,26.134079
2017-11-01,22.693302
2017-12-01,56.22474
2018-01-01,116.70463
2018-02-01,62.51082
2018-03-01,72.06966
2018-04-01,82.32085
2018-05-01,42.493156
2018-06-01,5.487793
2018-07-01,2.0226116
2018-08-01,6.0522385
2018-09-01,32.777374
2018-10-01,85.828094
2018-11-01,88.0676
2018-12-01,27.6443
2019-01-01,37.033813
2019-02-01,38.435665
2019-03-01,63.3929
2019-04-01,65.28281
2019-05-01,25.743853
2019-06-01,5.377118
2019-07-01,2.7101088
2019-08-01,4.656504
2019-09-01,11.687575
2019-10-01,33.837585
2019-11-01,40.822258
2019-12-01,73.66678
2020-01-01,43.314396
2020-02-01,15.366434
2020-03-01,87.86036
2020-04-01,56.894653
2020-05-01,34.034462
2020-06-01,7.445215
2020-07-01,2.9610357
2020-08-01,5.437854
2020-09-01,12.214531
2020-10-01,37.889446
2020-11-01,47.23105
2020-12-01,55.61219
2021-01-01,76.05606
2021-02-01,55.83347
2021-03-01,92.153145
2021-04-01,33.950783
2021-05-01,22.267721
2021-06-01,12.577027
2021-07-01,2.212552
2021-08-01,2.9965613
2021-09-01,9.948637
2021-10-01,19.998684
2021-11-01,30.945791
2021-12-01,52.946426
2022-01-01,52.537514
2022-02-01,33.994453
2022-03-01,92.67056
2022-04-01,47.8226
2022-05-01,23.788448
2022-06-01,12.1070595
2022-07-01,2.5212665
2022-08-01,3.965798
2022-09-01,13.363169
2022-10-01,40.82051
2022-11-01,13.816029
2022-12-01,78.245926
2023-01-01,23.102327
2023-02-01,99.984604
2023-03-01,19.335703
2023-04-01,25.231693
2023-05-01,30.237883
2023-06-01,5.891003
2023-07-01,2.0340614
2023-08-01,3.962939
2023-09-01,8.007663
2023-10-01,32.331894
2023-11-01,19.454662
2023-12-01,35.158905
2024-01-01,40.512947
2024-02-01,49.048294
2024-03-01,48.067974
2024-04-01,32.296665
2024-05-01,19.078184
2024-06-01,5.806053
2024-07-01,2.2215772
2024-08-01,3.3635118
2024-09-01,19.99691
2024-10-01,51.234795
2024-11-01,30.20633
2024-12-01,37.761284
